10001,"${STATUS} effect: ${STATUSDATA} damage per second."
10002,"${STATUS} effect: ${STATUSDATA} damage per second."
10003,"${STATUS} effect: ${STATUSDATA} damage per second."
10004,"${STATUS} effect: ${STATUSDATA} damage per second."
10005,"${STATUS} effect: ${STATUSDATA} damage per second."
10006,"${STATUS} effect: ${STATUSDATA} damage per second."
10007,"${STATUS} effect: ${STATUSDATA} damage per second."
10008,"${STATUS} effect: ${STATUSDATA} damage per second."
10009,"${STATUS} effect: ${STATUSDATA} damage per second."
10010,"${STATUS} effect: ${STATUSDATA} damage per second."
10011,"${STATUS} effect: ${STATUSDATA} damage per second."
10012,"${STATUS} effect: ${STATUSDATA} damage per second."
10013,"${STATUS} effect: ${STATUSDATA} damage per second."
10014,"${STATUS} effect: ${STATUSDATA} damage per second."
10015,"${STATUS} effect: ${STATUSDATA} damage per second."
10016,"${STATUS} effect: ${STATUSDATA} damage per second."
10017,"${STATUS} effect: ${STATUSDATA} damage per second."
10018,"${STATUS} effect: ${STATUSDATA} damage per second."
10019,"${STATUS} effect: ${STATUSDATA} damage per second."
10020,"${STATUS} effect: ${STATUSDATA} damage per second."
10021,"${STATUS} effect: ${STATUSDATA} damage per second."
10022,"${STATUS} effect: ${STATUSDATA} damage per second."
10023,"${STATUS} effect: ${STATUSDATA} damage per second."
10024,"${STATUS} effect: ${STATUSDATA} damage per second."
10025,"${STATUS} effect: ${STATUSDATA} damage per second."
10026,"${STATUS} effect: ${STATUSDATA} damage per second."
10027,"${STATUS} effect: ${STATUSDATA} damage per second."
10028,"${STATUS} effect: ${STATUSDATA} damage per second."
10029,"${STATUS} effect: ${STATUSDATA} damage per second."
10030,"${STATUS} effect: ${STATUSDATA} damage per second."
10201,"Your blood boils with rage, increasing your physical attack power by ${STATUSDATA}."
10202,"Your blood boils with rage, increasing your physical attack power by ${STATUSDATA}."
10203,"Your blood boils with rage, increasing your physical attack power by ${STATUSDATA}."
10204,"Increases physical attack power by ${STATUSDATA}, but constantly drains HP."
10205,"Increases physical attack power by ${STATUSDATA}, but constantly drains HP."
10206,"Increases physical attack power by ${STATUSDATA}, but constantly drains HP."
10207,"Increases physical attack power by ${STATUSDATA}, but constantly drains HP."
10208,"Increases physical attack power by ${STATUSDATA}, but constantly drains HP."
10209,"Increases physical attack power by ${STATUSDATA}, but constantly drains HP."
10210,"Increases physical attack power by ${STATUSDATA}, but constantly drains HP."
10401,"Focus your mind through intense concentration, increasing your HP recovery rate by ${STATUSDATA}."
10402,"Focus your mind through intense concentration, increasing your HP recovery rate by ${STATUSDATA}."
10403,"Focus your mind through intense concentration, increasing your HP recovery rate by ${STATUSDATA}."
10404,"HP recovery rate increases drastically. MP is drained constantly."
10405,"HP recovery rate increases drastically. MP is drained constantly."
10406,"HP recovery rate increases drastically. MP is drained constantly."
10407,"HP recovery rate increases drastically. MP is drained constantly."
10408,"HP recovery rate increases drastically. MP is drained constantly."
10409,"HP recovery rate increases drastically. MP is drained constantly."
10410,"HP recovery rate increases drastically. MP is drained constantly."
10601,"Nature protects you, increasing your physical defense by ${STATUSDATA}."
10602,"Nature protects you, increasing your physical defense by ${STATUSDATA}."
10603,"Nature protects you, increasing your physical defense by ${STATUSDATA}."
10604,"Increases physical defense by ${STATUSDATA}, but MP is constantly drained."
